2026-01-14 01:43:21.492 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:43:21.501 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:43:21.502 | INFO     | __main__:<module>:21 | ==================================================
2026-01-14 01:43:21.502 | INFO     | __main__:<module>:22 | Select From My Ideas - Web Server
2026-01-14 01:43:21.502 | INFO     | __main__:<module>:23 | ==================================================
2026-01-14 01:43:21.502 | INFO     | __main__:<module>:24 | Starting server at http://localhost:8000
2026-01-14 01:43:21.650 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:47:29.956 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:47:29.966 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:47:29.966 | INFO     | __main__:<module>:21 | ==================================================
2026-01-14 01:47:29.966 | INFO     | __main__:<module>:22 | Select From My Ideas - Web Server
2026-01-14 01:47:29.966 | INFO     | __main__:<module>:23 | ==================================================
2026-01-14 01:47:29.966 | INFO     | __main__:<module>:24 | Starting server at http://localhost:8000
2026-01-14 01:47:30.081 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:00.110 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:00.119 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:00.119 | INFO     | __main__:<module>:21 | ==================================================
2026-01-14 01:48:00.119 | INFO     | __main__:<module>:22 | Select From My Ideas - Web Server
2026-01-14 01:48:00.120 | INFO     | __main__:<module>:23 | ==================================================
2026-01-14 01:48:00.120 | INFO     | __main__:<module>:24 | Starting server at http://localhost:8000
2026-01-14 01:48:15.372 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:15.381 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:15.381 | INFO     | __main__:<module>:21 | ==================================================
2026-01-14 01:48:15.381 | INFO     | __main__:<module>:22 | Select From My Ideas - Web Server
2026-01-14 01:48:15.381 | INFO     | __main__:<module>:23 | ==================================================
2026-01-14 01:48:15.381 | INFO     | __main__:<module>:24 | Starting server at http://localhost:8000
2026-01-14 01:48:15.500 | INFO     | core.logging:setup_logging:103 | Logging initialized
2026-01-14 01:48:15.833 | INFO     | database.connection:init_db:36 | Initializing database at /Users/wonjunjoe/Desktop/workspace/Select_from_my_Ideas/data/sessions.db
2026-01-14 01:48:15.835 | INFO     | database.connection:init_db:38 | Database tables created
2026-01-14 01:48:15.835 | INFO     | api.routes:startup_event:359 | FastAPI application started
2026-01-14 01:48:56.881 | INFO     | api.routes:log_requests:42 | Request: GET /
2026-01-14 01:48:56.891 | INFO     | api.routes:log_requests:53 | Response: GET / -> 200
2026-01-14 01:48:56.912 | INFO     | api.routes:log_requests:42 | Request: GET /styles.css
2026-01-14 01:48:56.913 | INFO     | api.routes:log_requests:42 | Request: GET /app.js
2026-01-14 01:48:56.918 | INFO     | api.routes:log_requests:53 | Response: GET /app.js -> 304
2026-01-14 01:48:56.922 | INFO     | api.routes:log_requests:53 | Response: GET /styles.css -> 304
2026-01-14 01:48:57.281 | INFO     | api.routes:log_requests:42 | Request: GET /favicon.ico
2026-01-14 01:48:57.281 | INFO     | api.routes:log_requests:53 | Response: GET /favicon.ico -> 404
2026-01-14 01:49:11.886 | INFO     | api.routes:log_requests:42 | Request: POST /session/start
2026-01-14 01:49:11.890 | INFO     | api.routes:log_requests:42 | Request: POST /session/start
2026-01-14 01:49:11.891 | INFO     | api.routes:start_session:116 | Starting new session
2026-01-14 01:49:11.918 | INFO     | services.llm_client:__init__:19 | LLMClient initialized with model: gpt-4o
